id,gene-id,gene-symbol,gene-name,r,,,,,,,,,,,
1099556,30786,KCNK9,"potassium channel, subfamily K, member 9",1,2.1039,3.4865,2.3438,2.6535,1.9149,3.4019,3.978,3.2876,3.9467,3.3072,3.4198
279784688,0,RP11-390P2.4,RP11-390P2.4,0.948,1.7592,2.9404,2.0093,2.2419,1.821,3.1469,3.1601,2.8328,3.1171,3.0721,2.594
1089612,865,CBLN1,cerebellin 1 precursor,0.901,6.1532,7.1778,6.5365,6.8227,6.4406,7.5052,7.2353,7.3459,7.4539,7.3443,7.4484
1094317,34129,APTX,aprataxin,0.901,2.3737,2.8386,2.1724,2.6676,2.2044,2.8495,2.9133,2.9174,2.8335,2.8269,2.8689
1095506,81016,CPNE9,copine family member IX,0.895,0.8133,2.5186,1.8037,1.7742,0.8331,2.3178,2.954,2.5963,2.9586,3.1302,3.411
1087638,34829,IL17RB,interleukin 17 receptor B,0.892,2.3806,2.6172,2.2394,2.3388,1.836,3.1963,3.5848,3.4812,3.3278,3.0575,3.1573
280024227,0,AC138207.1,AC138207.1,0.888,0.2719,1.3124,1.0044,1.2176,0.2545,1.6268,2.2547,1.6497,1.4175,1.6167,1.6826
1088554,34913,POMGNT1,"protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase",0.885,3.3131,3.9889,3.3275,3.6227,3.4906,3.9447,3.8989,3.9013,3.9316,3.6589,3.8493
279794484,1021095,RP11-190J1.10,RP11-190J1.10,0.88,1.3765,1.8973,1.8599,1.5359,0.9552,2.1471,2.7298,1.9509,2.3754,2.5479,2.4115
279978811,0,RP11-535A15.1,RP11-535A15.1,0.874,0,0.8123,0,0.3027,0.1293,0.8704,0.5383,0.6403,0.8963,0.7065,0.5856
280077006,0,RP11-159H22.2,RP11-159H22.2,0.873,0.1438,0.4916,0.3089,0.3229,0.1038,0.7266,0.7969,0.5251,0.5264,0.346,0.4832
279774117,0,WARS2-IT1,WARS2 intronic transcript 1 (non-protein coding),0.865,0.2049,0.3646,0.2575,0.2418,0.069,0.563,0.5993,0.4232,0.4129,0.3924,0.3281
1107705,171002,CTC-228N24.1,CTC-228N24.1,0.865,0.0144,0.125,0.0623,0.0339,0.0087,0.1914,0.2187,0.1756,0.2484,0.2386,0.2998
1095810,80267,ASB15,ankyrin repeat and SOCS box containing 15,0.862,0.2787,0.3429,0.1765,0.3772,0.0217,0.5084,0.8111,0.2865,0.8912,0.5767,0.5257
1100632,7591,ZNF80,zinc finger protein 80,0.86,0,0.0937,0,0.0186,0,0.0449,0.0725,0.0178,0.0926,0.0347,0.0392
1098659,26035,ANKRD2,ankyrin repeat domain 2 (stretch responsive muscle),0.854,0.1404,0.5059,0.3281,0.263,0.2196,0.4622,0.4914,0.3113,0.6852,0.5488,0.6129
1107536,0,AC016757.1,Protein FAM132B,0.853,0.2755,1.0153,0.6067,0.8783,0.897,1.1846,1.5027,1.2226,1.5086,0.9357,1.3144
279825073,0,AC008781.7,AC008781.7,0.852,2.3651,2.9698,2.4483,2.2038,2.5409,2.8405,3.1054,2.7166,3.0322,2.6526,2.9167
1090416,5382,4-Sep,septin 4,0.852,3.5205,4.5914,4.2562,3.8141,3.2518,4.5449,4.878,4.9246,5.1233,5.271,5.448
1094284,58463,GARNL3,GTPase activating Rap/RanGAP domain-like 3,0.85,2.1309,2.3567,1.9644,1.953,2.0571,2.7601,3.0615,2.6936,2.9533,2.8607,3.1455
279874845,0,RP11-96C23.8,RP11-96C23.8,0.848,0.0446,0.5081,0.1228,0.3216,0.1101,0.2971,1.0777,0.5082,0.5354,0.6321,0.6794
280085757,8766,HCAR3,hydroxycarboxylic acid receptor 3,0.846,0.4903,0.593,0.4487,0.459,0.0982,0.7057,1.1416,0.78,0.9439,0.4168,0.8895
1089442,29640,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",0.846,1.3032,2.3792,1.4079,1.38,1.9726,2.3522,2.6078,2.5337,2.9164,2.5163,2.7267
